t_dat,article_id,sales_channel_id,payment_method,SKU_No,prod_return_type,return_Status,delivered,cust_id
2018-09-25,561445025,1,UPI,561445025.0,No return,Not Returned,Delivered,686
2018-10-31,399087001,2,Card,399087001.0,7 days return,Not Returned,Delivered,3720
2018-09-24,687260002,1,Cash,687260002.0,No return,Not Returned,Delivered,4507
2018-11-01,496111017,2,Cash,496111017.0,15 days return,Not Returned,Delivered,3698
2018-10-11,520508001,2,UPI,520508001.0,No return,Not Returned,Delivered,4309
2018-10-22,574109014,2,UPI,574109014.0,15 days return,Not Returned,Delivered,4162
2018-10-08,667499013,1,Cash,667499013.0,7 days return,Returned,Delivered,858
2018-10-29,558996009,2,Card,558996009.0,No return,Not Returned,Delivered,1185
2018-10-31,637667001,2,Card,637667001.0,7 days return,Not Returned,Delivered,3372
2018-10-13,501616008,1,Card,501616008.0,15 days return,Returned,Delivered,3684
2018-10-11,520508003,2,Cash,520508003.0,7 days return,Returned,Delivered,1988
2018-10-01,633917001,2,UPI,633917001.0,No return,Not Returned,Delivered,4878
2018-10-13,529055001,2,UPI,529055001.0,15 days return,Returned,Delivered,2843
2018-10-05,660599004,2,Card,660599004.0,No return,Not Returned,Delivered,3781
2018-09-20,640639001,2,UPI,640639001.0,15 days return,Returned,Delivered,66
2018-10-22,400342025,1,Cash,400342025.0,7 days return,Not Returned,Delivered,240
2018-09-20,692454002,2,Cash,692454002.0,No return,Not Returned,Delivered,66
2018-09-29,660599004,2,Card,660599004.0,No return,Not Returned,Delivered,4103
2018-10-06,399223024,1,Card,399223024.0,7 days return,,Not Delivered (Others),3407
2018-10-30,554598009,1,UPI,554598009.0,7 days return,Returned,Delivered,180
2018-10-25,694589005,1,UPI,694589005.0,No return,Not Returned,Delivered,666
2018-10-06,652000009,1,Card,652000009.0,15 days return,Not Returned,Delivered,3352
2018-10-10,638945003,1,UPI,638945003.0,No return,Not Returned,Delivered,524
2018-09-28,662888002,2,UPI,662888002.0,No return,Not Returned,Delivered,2003
2018-10-26,607564004,1,UPI,607564004.0,15 days return,Not Returned,Delivered,3204
2018-10-07,448515031,2,UPI,448515031.0,15 days return,Returned,Delivered,1285
2018-10-23,653538001,2,UPI,653538001.0,7 days return,Not Returned,Delivered,526
2018-10-06,457892003,2,UPI,457892003.0,No return,Not Returned,Delivered,1741
2018-10-30,607247002,2,UPI,607247002.0,7 days return,Returned,Delivered,3437
2018-10-04,666006004,2,UPI,666006004.0,7 days return,Not Returned,Delivered,3012
2018-10-27,653277001,2,UPI,653277001.0,15 days return,Not Returned,Delivered,504
2018-10-21,638554001,2,UPI,638554001.0,15 days return,Returned,Delivered,2944
2018-10-25,607046002,2,UPI,607046002.0,7 days return,Returned,Delivered,3611
2018-10-01,543054010,2,UPI,543054010.0,7 days return,Returned,Delivered,337
2018-09-29,610776006,1,Cash,610776006.0,15 days return,Returned,Delivered,3485
2018-10-21,662189001,1,UPI,662189001.0,7 days return,Returned,Delivered,726
2018-10-06,559139001,1,Cash,559139001.0,No return,Not Returned,Delivered,630
2018-10-20,673260004,2,UPI,673260004.0,7 days return,,Not Delivered (Wrong Item),4788
2018-10-30,637549012,2,UPI,637549012.0,No return,Not Returned,Delivered,4628
2018-10-10,642739002,2,Card,642739002.0,15 days return,Not Returned,Delivered,590
2018-10-25,366859031,2,UPI,366859031.0,No return,Not Returned,Delivered,3611
2018-09-29,610776002,1,UPI,610776002.0,15 days return,Not Returned,Delivered,2047
2018-10-22,649437001,2,UPI,649437001.0,7 days return,Not Returned,Delivered,325
2018-10-09,665477001,2,UPI,665477001.0,7 days return,,Not Delivered (Others),1694
2018-10-04,399256001,2,UPI,399256001.0,No return,Not Returned,Delivered,1744
2018-09-27,672590001,1,Card,672590001.0,7 days return,Not Returned,Delivered,98
2018-09-29,676954001,2,UPI,676954001.0,15 days return,Not Returned,Delivered,1977
2018-10-03,620081001,1,UPI,620081001.0,No return,Not Returned,Delivered,3449
2018-10-19,504155012,1,UPI,504155012.0,No return,Not Returned,Delivered,4490
2018-10-19,665703001,2,UPI,665703001.0,7 days return,Not Returned,Delivered,4776
2018-10-03,633135004,2,UPI,633135004.0,No return,Not Returned,Delivered,3130
2018-10-19,674448003,1,UPI,674448003.0,15 days return,Not Returned,Delivered,3516
2018-10-19,555364002,2,UPI,555364002.0,7 days return,Not Returned,Delivered,2638
2018-10-24,571436009,2,Cash,571436009.0,7 days return,Not Returned,Delivered,3365
2018-10-30,411413001,2,UPI,411413001.0,15 days return,Not Returned,Delivered,3844
2018-10-24,471714014,2,Cash,471714014.0,15 days return,,Not Delivered (Wrong Item),4250
2018-09-29,691291001,1,UPI,691291001.0,15 days return,Not Returned,Delivered,2968
2018-10-16,648638002,2,UPI,648638002.0,No return,Not Returned,Delivered,2241
2018-09-23,637255009,2,UPI,637255009.0,15 days return,Not Returned,Delivered,3363
2018-10-01,639976001,1,UPI,639976001.0,No return,Not Returned,Delivered,1620
2018-10-06,670655001,2,UPI,670655001.0,15 days return,Returned,Delivered,3743
2018-10-02,485521004,2,UPI,485521004.0,No return,Not Returned,Delivered,1269
2018-10-12,648505002,2,UPI,648505002.0,15 days return,Not Returned,Delivered,4914
2018-10-23,626168001,2,Card,626168001.0,15 days return,Not Returned,Delivered,1306
2018-10-25,638899001,1,Card,638899001.0,No return,Not Returned,Delivered,1300
2018-10-20,554598013,1,Card,554598013.0,7 days return,Not Returned,Delivered,3383
2018-09-29,653621002,2,Card,653621002.0,7 days return,Not Returned,Delivered,4186
2018-10-15,561570001,2,UPI,561570001.0,7 days return,Not Returned,Delivered,2604
2018-10-19,578487002,1,UPI,578487002.0,7 days return,Not Returned,Delivered,4403
2018-09-24,609185005,2,UPI,609185005.0,No return,Not Returned,Delivered,4329
2018-09-29,448515018,1,UPI,448515018.0,15 days return,,Not Delivered (Wrong Item),64
2018-10-21,618899001,2,UPI,618899001.0,No return,Not Returned,Delivered,866
2018-10-22,630116001,2,UPI,630116001.0,15 days return,Not Returned,Delivered,2716
2018-10-14,507910004,1,Cash,507910004.0,No return,,Not Delivered (Others),1133
2018-10-13,539723001,2,UPI,539723001.0,15 days return,Not Returned,Delivered,4047
2018-10-28,695263001,2,Card,695263001.0,7 days return,Not Returned,Delivered,2028
2018-09-29,626813006,2,UPI,626813006.0,7 days return,Not Returned,Delivered,3206
2018-10-16,663679002,2,UPI,663679002.0,7 days return,Not Returned,Delivered,2938
2018-09-28,703991001,2,Card,703991001.0,7 days return,Not Returned,Delivered,4684
2018-10-09,607154001,2,Card,607154001.0,No return,Not Returned,Delivered,525
2018-10-11,562245057,1,UPI,562245057.0,7 days return,Not Returned,Delivered,4617
2018-10-19,640124003,2,Card,640124003.0,15 days return,Returned,Delivered,2721
2018-10-31,682465001,2,Card,682465001.0,7 days return,Returned,Delivered,1832
2018-10-16,610776001,2,UPI,610776001.0,No return,Not Returned,Delivered,2283
2018-10-04,662857004,1,UPI,662857004.0,15 days return,Not Returned,Delivered,400
2018-10-04,639685006,2,Card,639685006.0,No return,Not Returned,Delivered,3608
2018-10-11,573856023,1,Card,573856023.0,7 days return,Not Returned,Delivered,1779
2018-10-05,667499005,1,UPI,667499005.0,No return,Not Returned,Delivered,4707
2018-10-23,610744009,2,UPI,610744009.0,7 days return,Returned,Delivered,711
2018-10-17,648738021,2,UPI,648738021.0,No return,Not Returned,Delivered,2631
2018-10-02,507909003,1,UPI,507909003.0,No return,Not Returned,Delivered,442
2018-10-25,643985001,1,Cash,643985001.0,15 days return,Not Returned,Delivered,4880
2018-09-29,591334014,2,UPI,591334014.0,7 days return,Returned,Delivered,3044
2018-10-23,683493005,1,Card,683493005.0,No return,Not Returned,Delivered,3132
2018-10-25,386859007,1,UPI,386859007.0,7 days return,Returned,Delivered,1493
2018-10-01,657476002,2,UPI,657476002.0,7 days return,,Not Delivered (Wrong Item),419
2018-09-25,664133003,2,Card,664133003.0,15 days return,Returned,Delivered,1005
2018-10-11,355569004,2,UPI,355569004.0,7 days return,Returned,Delivered,37
2018-10-23,717593001,2,UPI,717593001.0,7 days return,Not Returned,Delivered,539
2018-09-27,474471002,2,Cash,474471002.0,No return,Not Returned,Delivered,2480
2018-10-01,607834001,2,UPI,607834001.0,15 days return,Not Returned,Delivered,3682
2018-10-31,638899001,2,Cash,638899001.0,No return,Not Returned,Delivered,4234
2018-10-22,621525001,2,UPI,621525001.0,No return,Not Returned,Delivered,1662
2018-10-13,703843001,1,Card,703843001.0,15 days return,Returned,Delivered,1439
2018-09-21,554772002,2,Card,554772002.0,7 days return,Returned,Delivered,1937
2018-10-03,513701008,2,Card,513701008.0,7 days return,Not Returned,Delivered,2910
2018-10-19,695270002,1,Card,695270002.0,No return,Not Returned,Delivered,2770
2018-10-11,668537001,2,UPI,668537001.0,No return,Not Returned,Delivered,12
2018-10-11,615525008,2,UPI,615525008.0,15 days return,Not Returned,Delivered,2196
2018-10-17,652924006,2,UPI,652924006.0,7 days return,,Not Delivered (Others),640
2018-10-27,651558012,2,UPI,651558012.0,No return,,Not Delivered (Wrong Item),1259
2018-10-15,512251003,2,Card,512251003.0,No return,Not Returned,Delivered,1469
2018-10-10,562252034,2,Card,562252034.0,15 days return,Not Returned,Delivered,3607
2018-10-29,673144002,2,UPI,673144002.0,7 days return,Not Returned,Delivered,3603
2018-10-22,563027002,2,UPI,563027002.0,7 days return,Not Returned,Delivered,2731
2018-10-03,536139009,2,Card,536139009.0,7 days return,Returned,Delivered,250
2018-10-24,623284009,2,UPI,623284009.0,No return,Not Returned,Delivered,1429
2018-10-16,637549001,2,UPI,637549001.0,7 days return,Returned,Delivered,3803
2018-09-27,653275006,2,Cash,653275006.0,15 days return,Not Returned,Delivered,2201
2018-09-23,689165001,2,UPI,689165001.0,7 days return,Not Returned,Delivered,3851
2018-10-20,653233001,2,UPI,653233001.0,No return,Not Returned,Delivered,2920
2018-10-07,522918041,2,UPI,522918041.0,7 days return,Not Returned,Delivered,3967
2018-09-22,399061008,1,UPI,399061008.0,7 days return,Returned,Delivered,1080
2018-10-29,163734002,1,UPI,163734002.0,7 days return,Not Returned,Delivered,3211
2018-10-16,457892003,1,UPI,457892003.0,No return,Not Returned,Delivered,265
2018-10-20,648738021,2,UPI,648738021.0,No return,Not Returned,Delivered,1903
2018-09-24,693956003,2,UPI,693956003.0,No return,Not Returned,Delivered,2171
2018-10-12,669034005,2,UPI,669034005.0,15 days return,Not Returned,Delivered,536
2018-10-23,265069014,2,UPI,265069014.0,7 days return,Not Returned,Delivered,2282
2018-10-21,545396033,1,UPI,545396033.0,7 days return,Not Returned,Delivered,4580
2018-10-27,573085019,1,Card,573085019.0,15 days return,,Not Delivered (Others),2366
2018-10-26,600167002,2,UPI,600167002.0,No return,Not Returned,Delivered,1706
2018-10-10,688873009,1,UPI,688873009.0,7 days return,Returned,Delivered,576
2018-10-30,516712001,2,Card,516712001.0,7 days return,Returned,Delivered,3669
2018-10-13,662857004,1,Card,662857004.0,15 days return,Returned,Delivered,4065
2018-10-11,684385001,2,UPI,684385001.0,No return,Not Returned,Delivered,2633
2018-10-02,399201020,2,Cash,399201020.0,15 days return,Not Returned,Delivered,368
2018-09-21,665509002,2,UPI,665509002.0,7 days return,Not Returned,Delivered,1719
2018-09-29,501820003,1,UPI,501820003.0,No return,Not Returned,Delivered,1468
2018-10-12,691300001,2,UPI,691300001.0,No return,Not Returned,Delivered,274
2018-09-20,635957003,2,UPI,635957003.0,15 days return,Not Returned,Delivered,3765
2018-10-06,652008002,1,UPI,652008002.0,7 days return,Not Returned,Delivered,2810
2018-09-30,397068001,1,Card,397068001.0,7 days return,Not Returned,Delivered,2323
2018-09-22,685687004,2,Cash,685687004.0,7 days return,Returned,Delivered,3423
2018-10-28,399201020,2,UPI,399201020.0,15 days return,Returned,Delivered,996
2018-09-29,660599001,1,UPI,660599001.0,No return,Not Returned,Delivered,2505
2018-10-19,399223028,2,UPI,399223028.0,15 days return,Not Returned,Delivered,3683
2018-10-30,611615003,2,UPI,611615003.0,No return,,Not Delivered (Others),943
2018-10-12,672597002,2,Card,672597002.0,No return,Not Returned,Delivered,4064
2018-10-27,580769001,2,UPI,580769001.0,7 days return,Not Returned,Delivered,2594
2018-10-28,695263001,2,UPI,695263001.0,7 days return,Not Returned,Delivered,2028
2018-10-30,727676001,2,UPI,727676001.0,No return,Not Returned,Delivered,2070
2018-10-08,688341001,2,Card,688341001.0,No return,Not Returned,Delivered,2856
2018-10-23,565379001,1,UPI,565379001.0,7 days return,Returned,Delivered,3147
2018-10-23,635050002,2,Cash,635050002.0,No return,,Not Delivered (Others),1737
2018-10-20,572791007,2,UPI,572791007.0,15 days return,Not Returned,Delivered,963
2018-10-15,355072001,2,UPI,355072001.0,15 days return,,Not Delivered (Others),837
2018-10-11,640528003,2,UPI,640528003.0,7 days return,Not Returned,Delivered,608
2018-10-06,516000074,2,UPI,516000074.0,7 days return,Not Returned,Delivered,4498
2018-10-11,544914004,2,UPI,544914004.0,15 days return,Not Returned,Delivered,4201
2018-10-24,678553003,2,UPI,678553003.0,7 days return,Not Returned,Delivered,4573
2018-09-23,643201001,2,UPI,643201001.0,7 days return,Not Returned,Delivered,962
2018-10-19,562245057,1,UPI,562245057.0,7 days return,Returned,Delivered,2955
2018-09-26,692454002,2,UPI,692454002.0,No return,Not Returned,Delivered,2361
2018-09-23,399256001,1,Cash,399256001.0,No return,Not Returned,Delivered,4112
2018-09-23,537612021,2,UPI,537612021.0,15 days return,Not Returned,Delivered,3002
2018-10-26,631590005,2,UPI,631590005.0,No return,Not Returned,Delivered,492
2018-10-12,580894001,2,UPI,580894001.0,7 days return,Not Returned,Delivered,3573
2018-10-04,639685006,2,UPI,639685006.0,No return,Not Returned,Delivered,3608
2018-10-17,662253002,2,Card,662253002.0,7 days return,Returned,Delivered,2872
2018-10-21,559139001,2,UPI,559139001.0,No return,Not Returned,Delivered,3720
2018-10-05,618899001,2,Card,618899001.0,No return,Not Returned,Delivered,274
2018-10-10,524825010,2,UPI,524825010.0,7 days return,Not Returned,Delivered,3932
2018-09-23,552346001,1,Card,552346001.0,7 days return,Returned,Delivered,100
2018-10-18,657925001,2,UPI,657925001.0,No return,Not Returned,Delivered,3397
2018-10-13,650799002,2,UPI,650799002.0,7 days return,Not Returned,Delivered,1894
2018-09-27,682550010,1,Card,682550010.0,No return,Not Returned,Delivered,2769
2018-09-21,399223001,2,UPI,399223001.0,15 days return,Not Returned,Delivered,699
2018-10-24,688873001,2,UPI,688873001.0,No return,,Not Delivered (Others),2030
2018-10-29,536139012,2,Card,536139012.0,7 days return,Not Returned,Delivered,1455
2018-10-02,557248023,2,UPI,557248023.0,15 days return,Returned,Delivered,2883
2018-10-10,537346024,2,UPI,537346024.0,15 days return,Not Returned,Delivered,4713
2018-09-20,565373002,1,Cash,565373002.0,15 days return,Not Returned,Delivered,3907
2018-10-30,564358030,1,UPI,564358030.0,15 days return,Returned,Delivered,4131
2018-10-05,585869003,1,Card,585869003.0,No return,Not Returned,Delivered,4892
2018-10-29,508671003,1,UPI,508671003.0,7 days return,Not Returned,Delivered,4279
2018-10-10,643282001,1,UPI,643282001.0,7 days return,Returned,Delivered,1179
2018-09-26,456163018,2,UPI,456163018.0,No return,Not Returned,Delivered,239
2018-11-01,561222002,1,Cash,561222002.0,15 days return,Not Returned,Delivered,3123
2018-10-16,504152001,1,Card,504152001.0,7 days return,Returned,Delivered,1892
2018-09-28,578846001,2,UPI,578846001.0,No return,Not Returned,Delivered,3959
2018-09-21,674336003,2,UPI,674336003.0,7 days return,Not Returned,Delivered,3341
2018-10-12,663396002,1,Card,663396002.0,15 days return,Returned,Delivered,3924
2018-10-05,651793004,2,UPI,651793004.0,7 days return,Not Returned,Delivered,2706
2018-10-08,653428002,1,UPI,653428002.0,No return,Not Returned,Delivered,1527
2018-09-29,672371001,2,UPI,672371001.0,7 days return,Not Returned,Delivered,4899
2018-10-14,626587004,1,UPI,626587004.0,15 days return,Not Returned,Delivered,229
2018-10-19,416157025,2,UPI,416157025.0,No return,Not Returned,Delivered,2523
2018-09-30,637549012,2,UPI,637549012.0,No return,Not Returned,Delivered,2565
2018-10-03,607310005,2,Cash,607310005.0,No return,Not Returned,Delivered,270
2018-10-27,120129001,2,UPI,120129001.0,15 days return,Not Returned,Delivered,864
2018-09-26,568301001,2,UPI,568301001.0,7 days return,Not Returned,Delivered,256
2018-09-21,674715004,2,Card,674715004.0,15 days return,Returned,Delivered,1726
2018-10-25,405586006,2,Cash,405586006.0,15 days return,Not Returned,Delivered,255
2018-10-20,662888006,1,UPI,662888006.0,15 days return,Not Returned,Delivered,3521
2018-10-17,537346024,2,UPI,537346024.0,15 days return,Not Returned,Delivered,547
2018-09-29,633960003,1,UPI,633960003.0,No return,Not Returned,Delivered,2465
2018-09-28,599502001,2,UPI,599502001.0,7 days return,Not Returned,Delivered,2258
2018-09-20,675827001,1,Cash,675827001.0,7 days return,Not Returned,Delivered,2800
2018-10-17,611024001,2,Card,611024001.0,15 days return,Not Returned,Delivered,4602
2018-10-25,679525001,1,UPI,679525001.0,7 days return,Not Returned,Delivered,1802
2018-10-12,548659001,2,UPI,548659001.0,7 days return,Not Returned,Delivered,2148
2018-10-09,640244002,2,UPI,640244002.0,7 days return,Returned,Delivered,1120
2018-10-27,156224002,1,UPI,156224002.0,No return,Not Returned,Delivered,148
2018-10-24,607310002,1,Card,607310002.0,7 days return,Not Returned,Delivered,923
2018-09-21,687535001,2,UPI,687535001.0,No return,Not Returned,Delivered,1241
2018-10-11,399136009,1,UPI,399136009.0,No return,Not Returned,Delivered,2591
2018-10-10,619110001,2,UPI,619110001.0,15 days return,Not Returned,Delivered,1313
2018-09-29,714375001,2,Cash,714375001.0,No return,,Not Delivered (Wrong Item),3814
2018-10-28,582248007,1,UPI,582248007.0,7 days return,Not Returned,Delivered,4347
2018-10-11,472320001,2,UPI,472320001.0,No return,Not Returned,Delivered,2439
2018-09-28,595779002,1,Card,595779002.0,No return,Not Returned,Delivered,565
2018-10-01,538993005,2,UPI,538993005.0,15 days return,Not Returned,Delivered,2617
2018-10-19,662593004,2,Card,662593004.0,15 days return,Not Returned,Delivered,3594
2018-09-29,656266004,2,UPI,656266004.0,7 days return,Not Returned,Delivered,4835
2018-09-24,597918002,2,UPI,597918002.0,No return,Not Returned,Delivered,2909
2018-09-30,680374002,2,Card,680374002.0,7 days return,Not Returned,Delivered,534
2018-09-21,637268006,2,UPI,637268006.0,No return,Not Returned,Delivered,3578
2018-10-09,688873012,2,UPI,688873012.0,15 days return,Not Returned,Delivered,788
2018-10-10,704032002,2,UPI,704032002.0,7 days return,Not Returned,Delivered,4516
2018-10-25,579990002,2,UPI,579990002.0,7 days return,,Not Delivered (Others),4434
2018-10-25,557248003,2,UPI,557248003.0,7 days return,Not Returned,Delivered,4462
2018-09-20,692454002,2,UPI,692454002.0,No return,Not Returned,Delivered,3426
2018-10-15,697980001,1,Card,697980001.0,15 days return,Not Returned,Delivered,3884
2018-10-17,607627001,2,UPI,607627001.0,15 days return,,Not Delivered (Wrong Item),1910
2018-09-27,688873005,1,Card,688873005.0,7 days return,Returned,Delivered,444
2018-10-29,671515001,2,Card,671515001.0,15 days return,Returned,Delivered,4927
2018-09-29,626815002,2,UPI,626815002.0,7 days return,Not Returned,Delivered,985
2018-10-04,719031001,1,Card,719031001.0,No return,Not Returned,Delivered,1129
2018-09-24,568861005,1,Card,568861005.0,No return,Not Returned,Delivered,2262
2018-10-12,297067002,1,Cash,297067002.0,15 days return,Not Returned,Delivered,1067
2018-10-23,680186002,2,UPI,680186002.0,15 days return,Returned,Delivered,3346
2018-10-16,554598004,2,Card,554598004.0,15 days return,Not Returned,Delivered,4026
2018-10-08,688873014,1,UPI,688873014.0,7 days return,,Not Delivered (Others),3884
2018-10-13,536139028,2,UPI,536139028.0,7 days return,Not Returned,Delivered,1994
2018-10-31,651558010,2,UPI,651558010.0,No return,Not Returned,Delivered,1714
2018-10-02,573716039,2,UPI,573716039.0,15 days return,,Not Delivered (Others),1270
2018-10-13,554598009,1,Cash,554598009.0,7 days return,Not Returned,Delivered,2451
2018-10-20,540742008,2,UPI,540742008.0,7 days return,Not Returned,Delivered,3755
2018-10-06,658926001,2,UPI,658926001.0,15 days return,Not Returned,Delivered,4437
2018-10-08,384263013,2,UPI,384263013.0,7 days return,Not Returned,Delivered,1792
2018-10-16,531273001,2,UPI,531273001.0,No return,Not Returned,Delivered,3926
2018-10-19,583804002,2,UPI,583804002.0,15 days return,Returned,Delivered,3605
2018-10-06,599965005,2,UPI,599965005.0,7 days return,Returned,Delivered,3444
2018-10-24,622231011,2,UPI,622231011.0,15 days return,Returned,Delivered,2200
2018-10-12,632220001,1,UPI,632220001.0,15 days return,Returned,Delivered,2050
2018-09-26,600556001,2,Card,600556001.0,15 days return,Not Returned,Delivered,3420
2018-10-04,399087011,2,UPI,399087011.0,15 days return,Not Returned,Delivered,303
2018-10-09,613497003,2,Cash,613497003.0,7 days return,Not Returned,Delivered,3723
2018-10-18,562245057,2,UPI,562245057.0,7 days return,Returned,Delivered,2412
2018-10-02,681900002,2,Cash,681900002.0,7 days return,,Not Delivered (Others),3825
2018-09-22,554772015,2,UPI,554772015.0,15 days return,Returned,Delivered,233
