age,postal_code,gender,size,cust_id,embed_text
,Surat,Male,XL,265,"Customer ID: 265, Gender: Male, postal_code: Surat, Age Range: nan, Size: XL"
20-25,Hyderabad,Female,XS,266,"Customer ID: 266, Gender: Female, postal_code: Hyderabad, Age Range: 20-25, Size: XS"
50-60,Delhi,Female,XS,267,"Customer ID: 267, Gender: Female, postal_code: Delhi, Age Range: 50-60, Size: XS"
40-50,Delhi,Female,S,268,"Customer ID: 268, Gender: Female, postal_code: Delhi, Age Range: 40-50, Size: S"
30-35,Mumbai,Female,XL,270,"Customer ID: 270, Gender: Female, postal_code: Mumbai, Age Range: 30-35, Size: XL"
40-50,Chennai,Female,L,274,"Customer ID: 274, Gender: Female, postal_code: Chennai, Age Range: 40-50, Size: L"
50-60,Nagpur,Male,XS,276,"Customer ID: 276, Gender: Male, postal_code: Nagpur, Age Range: 50-60, Size: XS"
25-30,Bhopal,Male,XL,279,"Customer ID: 279, Gender: Male, postal_code: Bhopal, Age Range: 25-30, Size: XL"
20-25,Hyderabad,Female,M,280,"Customer ID: 280, Gender: Female, postal_code: Hyderabad, Age Range: 20-25, Size: M"
25-30,Mumbai,Female,XL,281,"Customer ID: 281, Gender: Female, postal_code: Mumbai, Age Range: 25-30, Size: XL"
20-25,Bengaluru,Female,XL,282,"Customer ID: 282, Gender: Female, postal_code: Bengaluru, Age Range: 20-25, Size: XL"
25-30,Bengaluru,Male,S,283,"Customer ID: 283, Gender: Male, postal_code: Bengaluru, Age Range: 25-30, Size: S"
25-30,Delhi,Female,XL,284,"Customer ID: 284, Gender: Female, postal_code: Delhi, Age Range: 25-30, Size: XL"
25-30,Chennai,Male,XL,287,"Customer ID: 287, Gender: Male, postal_code: Chennai, Age Range: 25-30, Size: XL"
50-60,Chennai,Male,XS,289,"Customer ID: 289, Gender: Male, postal_code: Chennai, Age Range: 50-60, Size: XS"
30-35,Bengaluru,Female,M,290,"Customer ID: 290, Gender: Female, postal_code: Bengaluru, Age Range: 30-35, Size: M"
20-25,Chennai,Female,M,291,"Customer ID: 291, Gender: Female, postal_code: Chennai, Age Range: 20-25, Size: M"
40-50,Chandigarh,Female,XL,293,"Customer ID: 293, Gender: Female, postal_code: Chandigarh, Age Range: 40-50, Size: XL"
30-35,Bhopal,Female,L,295,"Customer ID: 295, Gender: Female, postal_code: Bhopal, Age Range: 30-35, Size: L"
30-35,Pune,Female,L,296,"Customer ID: 296, Gender: Female, postal_code: Pune, Age Range: 30-35, Size: L"
50-60,Bengaluru,Male,L,298,"Customer ID: 298, Gender: Male, postal_code: Bengaluru, Age Range: 50-60, Size: L"
25-30,Visakhapatnam,Male,XS,299,"Customer ID: 299, Gender: Male, postal_code: Visakhapatnam, Age Range: 25-30, Size: XS"
20-25,Bengaluru,Female,XS,300,"Customer ID: 300, Gender: Female, postal_code: Bengaluru, Age Range: 20-25, Size: XS"
30-35,Mumbai,Female,XL,302,"Customer ID: 302, Gender: Female, postal_code: Mumbai, Age Range: 30-35, Size: XL"
25-30,Bengaluru,Female,S,303,"Customer ID: 303, Gender: Female, postal_code: Bengaluru, Age Range: 25-30, Size: S"
40-50,Bengaluru,Female,XS,305,"Customer ID: 305, Gender: Female, postal_code: Bengaluru, Age Range: 40-50, Size: XS"
25-30,Delhi,Female,L,308,"Customer ID: 308, Gender: Female, postal_code: Delhi, Age Range: 25-30, Size: L"
60-70,Surat,Female,XS,311,"Customer ID: 311, Gender: Female, postal_code: Surat, Age Range: 60-70, Size: XS"
30-35,Coimbatore,Male,XL,312,"Customer ID: 312, Gender: Male, postal_code: Coimbatore, Age Range: 30-35, Size: XL"
60-70,Nagpur,Male,XL,314,"Customer ID: 314, Gender: Male, postal_code: Nagpur, Age Range: 60-70, Size: XL"
25-30,Bengaluru,Female,XL,315,"Customer ID: 315, Gender: Female, postal_code: Bengaluru, Age Range: 25-30, Size: XL"
50-60,Mumbai,Female,L,316,"Customer ID: 316, Gender: Female, postal_code: Mumbai, Age Range: 50-60, Size: L"
30-35,Delhi,Female,S,317,"Customer ID: 317, Gender: Female, postal_code: Delhi, Age Range: 30-35, Size: S"
25-30,Hyderabad,Female,S,319,"Customer ID: 319, Gender: Female, postal_code: Hyderabad, Age Range: 25-30, Size: S"
20-25,Indore,Female,XL,321,"Customer ID: 321, Gender: Female, postal_code: Indore, Age Range: 20-25, Size: XL"
50-60,Chandigarh,Female,M,323,"Customer ID: 323, Gender: Female, postal_code: Chandigarh, Age Range: 50-60, Size: M"
15-20,Chennai,Female,XS,324,"Customer ID: 324, Gender: Female, postal_code: Chennai, Age Range: 15-20, Size: XS"
30-35,Chennai,Female,S,325,"Customer ID: 325, Gender: Female, postal_code: Chennai, Age Range: 30-35, Size: S"
25-30,Vadodara,Male,L,326,"Customer ID: 326, Gender: Male, postal_code: Vadodara, Age Range: 25-30, Size: L"
35-40,Vadodara,Female,XS,327,"Customer ID: 327, Gender: Female, postal_code: Vadodara, Age Range: 35-40, Size: XS"
35-40,Hyderabad,Female,L,328,"Customer ID: 328, Gender: Female, postal_code: Hyderabad, Age Range: 35-40, Size: L"
20-25,Kolkata,Female,L,329,"Customer ID: 329, Gender: Female, postal_code: Kolkata, Age Range: 20-25, Size: L"
50-60,Bengaluru,Female,M,330,"Customer ID: 330, Gender: Female, postal_code: Bengaluru, Age Range: 50-60, Size: M"
50-60,Hyderabad,Male,XL,333,"Customer ID: 333, Gender: Male, postal_code: Hyderabad, Age Range: 50-60, Size: XL"
50-60,Bengaluru,Female,XS,334,"Customer ID: 334, Gender: Female, postal_code: Bengaluru, Age Range: 50-60, Size: XS"
25-30,Indore,Female,L,335,"Customer ID: 335, Gender: Female, postal_code: Indore, Age Range: 25-30, Size: L"
40-50,Guwahati,Female,M,336,"Customer ID: 336, Gender: Female, postal_code: Guwahati, Age Range: 40-50, Size: M"
20-25,Hyderabad,Female,XS,337,"Customer ID: 337, Gender: Female, postal_code: Hyderabad, Age Range: 20-25, Size: XS"
,Bengaluru,Male,L,338,"Customer ID: 338, Gender: Male, postal_code: Bengaluru, Age Range: nan, Size: L"
50-60,Chennai,Female,XL,339,"Customer ID: 339, Gender: Female, postal_code: Chennai, Age Range: 50-60, Size: XL"
40-50,Surat,Female,S,340,"Customer ID: 340, Gender: Female, postal_code: Surat, Age Range: 40-50, Size: S"
30-35,Chennai,Female,L,341,"Customer ID: 341, Gender: Female, postal_code: Chennai, Age Range: 30-35, Size: L"
30-35,Chandigarh,Male,XS,342,"Customer ID: 342, Gender: Male, postal_code: Chandigarh, Age Range: 30-35, Size: XS"
35-40,Hyderabad,Female,M,345,"Customer ID: 345, Gender: Female, postal_code: Hyderabad, Age Range: 35-40, Size: M"
40-50,Mumbai,Female,M,346,"Customer ID: 346, Gender: Female, postal_code: Mumbai, Age Range: 40-50, Size: M"
15-20,Visakhapatnam,Female,M,347,"Customer ID: 347, Gender: Female, postal_code: Visakhapatnam, Age Range: 15-20, Size: M"
50-60,Surat,Male,S,348,"Customer ID: 348, Gender: Male, postal_code: Surat, Age Range: 50-60, Size: S"
50-60,Bengaluru,Female,L,349,"Customer ID: 349, Gender: Female, postal_code: Bengaluru, Age Range: 50-60, Size: L"
50-60,Delhi,Female,XS,350,"Customer ID: 350, Gender: Female, postal_code: Delhi, Age Range: 50-60, Size: XS"
