image,gender,color,material,sleeve,pattern,neckline,style,category,item_ID
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA7980>,Female,,,Short Sleeves,,Round Neck,,Blouses,1000053
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA5040>,Female,White,Tulle,Strapless,,Sweetheart Neckline,Summer,Dresses,1000055
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA7F20>,Female,,Lace,Sleeveless,,Sweetheart Neckline,,Corsets,1000057
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA7C80>,Female,Clear,Lace Tulle,Sleeveless,Ruched,Sweetheart Neckline,Bodycon,Prom Dresses,1000058
<PIL.Image.Image image mode=RGB size=450x600 at 0x79C77DEFC080>,Male,Gray,,,,,,Harem Pants,100006
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF97830>,Female,,,Long Sleeved,,Off The Shoulder,Summer,Casual Dresses,1000060
<PIL.Image.Image image mode=RGB size=600x599 at 0x79C77DFA75F0>,Female,,Chiffon,Sleeveless,Floral,V-Necks,Spaghetti Straps,Jumpsuits Overalls & Rompers,1000062
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DFA7740>,Male,,Nylon,Long Sleeved,,Round Neck,,Athletic Shirts,1000063
<PIL.Image.Image image mode=RGB size=600x525 at 0x79C77D8C49B0>,Female,Gray,,,,,,Leggings,1000064
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C4DA0>,Female,White,Lace,Long Sleeved,Crochet,Round Neck,Embroidered,Blouses,1000066
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C4890>,Female,,,,,,,Suits & Blazers,1000067
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C5250>,Female,Blue Pink Red,,Long Sleeved,Leopard And Cheetah,Round Neck,Furry,Jackets,1000068
<PIL.Image.Image image mode=RGB size=400x600 at 0x79C77D8C5670>,Female,,Chiffon,Strapless,Floral,V-Necks,Wrap,Swimsuit Cover-ups,1000069
<PIL.Image.Image image mode=RGB size=450x600 at 0x79C77D8C5A90>,Female,Pink,,Short Sleeves,,Sweetheart Neckline,Bodycon,Wedding Dresses,1000070
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C5E80>,Female,,Cotton Spandex,Sleeveless,,Racerback,Spaghetti Straps,Tank Tops,1000071
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF467B0>,Female,,Lace,Long Sleeved,,Round Neck,Bodycon,Dresses,1000072
<PIL.Image.Image image mode=RGB size=447x500 at 0x79C77DF97920>,Female,,Lace Satin,Strapless,Leopard And Cheetah,Sweetheart Neckline,Vintage Retro,Corsets,1000073
<PIL.Image.Image image mode=RGB size=551x576 at 0x79C77D8C40E0>,Male,,,Long Sleeved,,Round Neck,,Dress Shirts,1000074
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C4680>,Male,,,,,,,Sweatpants,1000075
<PIL.Image.Image image mode=RGB size=479x479 at 0x79C77D8C71A0>,Neutral,Green Orange White,,Short Sleeves,,Round Neck,Printed,T-Shirts,1000076
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF945F0>,Male,Black Blue Green Multi Color White Yellow,,,Camouflage,,,Capri Pants,1000077
<PIL.Image.Image image mode=RGB size=465x600 at 0x79C77D8C4110>,Male,,,Long Sleeved,,Round Neck,,Athletic Shirts,1000078
<PIL.Image.Image image mode=RGB size=369x600 at 0x79C77D8C5430>,Female,,,Short Sleeves,,Round Neck,Peplum,Blouses,100008
<PIL.Image.Image image mode=RGB size=587x400 at 0x79C77D8C7F50>,Female,Black Green Pink White,,Long Sleeved,,Off The Shoulder,Spaghetti Straps,,1000081
<PIL.Image.Image image mode=RGB size=350x350 at 0x79C77D8D4380>,Male,Black,Denim,,,,,,1000084
<PIL.Image.Image image mode=RGB size=522x532 at 0x79C77D8D47A0>,Female,,Chiffon,Short Sleeves,,Round Neck,Beaded,Blouses,1000085
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C6AE0>,Female,Blue White,Chiffon,Short Sleeves,,Round Neck,,Blouses,1000086
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D52E0>,Female,Red,Lace,Long Sleeved,,V-Necks,Bodycon,Casual Dresses,1000087
<PIL.Image.Image image mode=RGB size=399x600 at 0x79C77D8D56D0>,Female,,Denim,,Ripped,,,,1000088
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D51C0>,Female,Pink White,,,,,,Cardigans,1000089
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D5B80>,Female,Beige Black Green Purple Red Yellow,Polyester,Long Sleeved,,Round Neck,Asymmetric,Capes & Capelets,1000092
<PIL.Image.Image image mode=RGB size=500x500 at 0x79C77D8D5C70>,Female,,,Long Sleeved,,V-Necks,Peplum,Casual Dresses,1000094
<PIL.Image.Image image mode=RGB size=399x600 at 0x79C77D8D6270>,Female,,,Sleeveless,Floral,V-Necks,Summer,Casual Dresses,1000095
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D6420>,Neutral,,Cotton,Short Sleeves,,Round Neck,Tunic,T-Shirts,1000097
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D6690>,Female,Black,Lace,Long Sleeved,,Round Neck,Pleated,Dresses,1000098
<PIL.Image.Image image mode=RGB size=600x598 at 0x79C77D8D6F60>,Female,Black White,Polyester,Long Sleeved,,,Bodycon,Casual Dresses,1000099
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D4F80>,Female,Black Pink,Cotton,Sleeveless,,Round Neck,,Dresses,10001
<PIL.Image.Image image mode=RGB size=592x600 at 0x79C77D8C5C10>,Female,Black,Lace,Sleeveless,Mesh,,Spaghetti Straps,Nightgowns,100010
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C4B30>,Neutral,,,,,,Tunic,Kimonos,1000100
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D49B0>,Female,,Cotton Polyester Spandex,,,,Bodycon,Pencil Skirts,1000101
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C7E00>,Female,Black Blue White,Denim,,,,,Skirts,1000103
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D5400>,Female,Black Purple White,Lace,Long Sleeved,Floral,Round Neck,Pleated,Dresses,1000104
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D65A0>,Female,Blue,Denim,,Ripped,,,,1000105
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E4530>,Female,Black Blue Brown Green Red White,,,,,,Harem Pants,1000106
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E4920>,Female,Black White,Chiffon,Sleeveless,,Round Neck,Summer,Cocktail Dresses,1000107
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E4CE0>,Female,Black Red,Lace,Long Sleeved,Floral,Round Neck,Peplum,Blouses,1000109
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D79B0>,Male,,,Long Sleeved,,,,Jackets,100011
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D7440>,Neutral,Black Blue Pink Red Yellow,,,,,,Tutus,1000110
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C79D87B5F0>,Female,Black Red,Wool,Long Sleeved,,V-Necks,Furry,Trench Coats,1000112
<PIL.Image.Image image mode=RGB size=348x349 at 0x79C77D8C6870>,Male,,Wool,,,,,Peacoats,1000113
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C77D0>,Neutral,Black,Nylon,Short Sleeves,,Backless Dresses,Embroidered,,1000114
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C7CB0>,Male,,Silk,Long Sleeved,,V-Necks,Printed,,1000115
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E5BE0>,Female,Black Red,,Long Sleeved,,Off The Shoulder,Bodycon,Party Dresses,1000118
<PIL.Image.Image image mode=RGB size=450x600 at 0x79C77D8E5790>,Female,,,Sleeveless,Sequins,Round Neck,Asymmetric,Wedding Dresses,100012
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E5C40>,Male,,Denim,,Ripped,,,Baggy Jeans,1000120
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E64B0>,Female,,,Sleeveless,,Backless Dresses,Spaghetti Straps,Vests,1000122
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E53D0>,Female,Black Blue Gray Red,,Sleeveless,,Backless Dresses,Spaghetti Straps,Lingerie Sleepwear & Underwear,1000123
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C7AD0>,Male,Black Orange,Cotton,Short Sleeves,,Round Neck,Printed,T-Shirts,1000124
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77E2C8050>,Female,Black Pink White,Chiffon,Long Sleeved,,Off The Shoulder,,Sheer Tops,1000125
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8D7650>,Female,Black White,Lace,Sleeveless,Floral Mesh,Round Neck,Pleated,Skirts,1000126
<PIL.Image.Image image mode=RGB size=587x400 at 0x79C77D8E5040>,Female,,,Long Sleeved,,V-Necks,,Blouses,1000127
<PIL.Image.Image image mode=RGB size=350x525 at 0x79C77D8E58E0>,Female,Black,Nylon,Sleeveless,,Sweetheart Neckline,Bandage,Dresses,1000129
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E79E0>,Female,,Cotton Faux Fur,Long Sleeved,Quilted,,Furry,Jackets,100013
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F4470>,Female,,Cotton,Long Sleeved,,Collared,Furry,Jackets,1000130
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F4830>,Female,Black White,Lace,Sleeveless,,Backless Dresses,Spaghetti Straps,Tank Tops,1000131
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F46B0>,Female,Black Blue Pink,,Long Sleeved,,V-Necks,Bodycon,Party Dresses,1000132
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E6C60>,Female,Blue Green Pink Purple,Cotton,,,,,Underwear,1000134
<PIL.Image.Image image mode=RGB size=497x497 at 0x79C77D8E6810>,Female,,,Short Sleeves,,Off The Shoulder,Asymmetric,,1000135
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F5610>,Female,Black Blue Green Red Yellow,,Long Sleeved,,Off The Shoulder,Bodycon,,1000136
<PIL.Image.Image image mode=RGB size=600x450 at 0x79C77D8F59D0>,Male,Black Gray Red,,Long Sleeved,,V-Necks,,Suits & Blazers,1000137
<PIL.Image.Image image mode=RGB size=500x500 at 0x79C77D8F5670>,Female,,Denim,Puff Sleeves,,Round Neck,Summer,Casual Dresses,1000138
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F5880>,Female,Red,Polyester,Sleeveless,Sequins,Round Neck,Pleated,Casual Dresses,1000139
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F62A0>,Female,,Polyester Spandex,Sleeveless,,Racerback,,Vests,100014
<PIL.Image.Image image mode=RGB size=500x500 at 0x79C77D8F6660>,Female,,,Short Sleeves,,Round Neck,Printed,T-Shirts,1000141
<PIL.Image.Image image mode=RGB size=310x310 at 0x79C77D8E4D70>,Male,Black White,Cotton,Short Sleeves,,V-Necks,,Polos,1000142
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F6CC0>,Female,,,Sleeveless,,Sweetheart Neckline,Bodycon,Dresses,1000147
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF947A0>,Female,Blue Pink White,Satin,,,,,Robes,1000148
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C6CC0>,Female,Black Red,,Sleeveless,,,Asymmetric,Cardigans,1000149
<PIL.Image.Image image mode=RGB size=469x600 at 0x79C77D8E7740>,Female,,Lace Tulle,Sleeveless,Ruffles Sequins,Sweetheart Neckline,Bandage,Wedding Dresses,1000150
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F5160>,Female,,Chiffon,Sleeveless,Floral,V-Necks,Summer,Cocktail Dresses,1000151
<PIL.Image.Image image mode=RGB size=598x600 at 0x79C77D8F79E0>,Male,Pink,,,,,,Three Piece Suits,1000152
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F7B30>,Female,Green,,Long Sleeved,Floral,V-Necks,Vintage Retro,Kimonos,1000153
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F7AA0>,Female,Black Silver White,Knit,Sleeveless,,V-Necks,Peplum,,1000156
<PIL.Image.Image image mode=RGB size=498x536 at 0x79C77D9086B0>,Female,,Wool,Long Sleeved,,V-Necks,Furry,Peacoats,1000157
<PIL.Image.Image image mode=RGB size=587x400 at 0x79C77D9084D0>,Female,Black Red,Knit,Long Sleeved,,Turtlenecks,Bodycon,,1000158
<PIL.Image.Image image mode=RGB size=450x600 at 0x79C77D908BC0>,Female,Black Blue White,,,,,,Skinny Jeans,100016
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F6EA0>,Female,,,Sleeveless,Chevron,V-Necks,Summer,Cocktail Dresses,1000160
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F5D60>,Male,Black,,,,,,Trousers,1000161
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8F4FE0>,Neutral,Black Gold,Cotton,Long Sleeved,,Collared,,Jackets,1000162
<PIL.Image.Image image mode=RGB size=449x600 at 0x79C77D8F7590>,Female,,,Sleeveless,Tie Dye,Off The Shoulder,Spaghetti Straps,Dresses,1000163
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E7EC0>,Female,,Lace,Long Sleeved,,Round Neck,Bodycon,Dresses,1000164
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D909BB0>,Female,Pink,,Short Sleeves,,Round Neck,Peplum,Crop Tops,1000165
<PIL.Image.Image image mode=RGB size=500x500 at 0x79C77D8E5580>,Female,,,Long Sleeved,,Backless Dresses,,Jumpsuits Overalls & Rompers,1000166
<PIL.Image.Image image mode=RGB size=500x500 at 0x79C77D90A120>,Female,Black Gray Purple,,,,,,Yoga Pants,1000167
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D90A540>,Female,,Lace,Sleeveless,Floral,Round Neck,Summer,Casual Dresses,1000169
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D90A6C0>,Female,Black,Leather Patent,Long Sleeved,Mesh,Round Neck,,Bodysuits,1000170
<PIL.Image.Image image mode=RGB size=514x533 at 0x79C77D908A70>,Female,Black Blue,Polyester,Sleeveless,,Round Neck,Hollow-Out,,1000171
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D909220>,Male,,,,,,,Maternity,1000174
<PIL.Image.Image image mode=RGB size=578x600 at 0x79C77D90A660>,Female,Black Green,,Strapless,Ruched,Shoulder Drapes,Bodycon,Dresses,1000175
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D90B8C0>,Female,,,Long Sleeved,,Off The Shoulder,,,1000177
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D90BCB0>,Female,Black Blue Green,,Long Sleeved,,Off The Shoulder,,Blouses,100018
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D910380>,Female,Black Blue Red,,Long Sleeved,,V-Necks,,Jumpsuits Overalls & Rompers,1000180
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D9107A0>,Female,,Cotton,Strapless,Tie Dye,Round Neck,Summer,Casual Dresses,1000181
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77DF97890>,Male,,Cotton,Long Sleeved,Quilted,Turtlenecks,,Bubble Coats,1000182
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D910CB0>,Male,,Denim,,Ripped,,,Trousers,1000183
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D910F80>,Female,Black Gray,,Long Sleeved,,Off The Shoulder,Bodycon,Cocktail Dresses,1000184
<PIL.Image.Image image mode=RGB size=600x588 at 0x79C77D90B140>,Female,,Chiffon,Long Sleeved,,Round Neck,,Jumpsuits Overalls & Rompers,1000185
<PIL.Image.Image image mode=RGB size=384x500 at 0x79C77D90B0E0>,Female,,,Sleeveless,,Sweetheart Neckline,Bodycon,Custom Made Clothing,1000186
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D911DF0>,Female,Black Pink,,Short Sleeves,,Off The Shoulder,,Blouses,1000187
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D9119A0>,Female,Black Gray Green,,Long Sleeved,,Round Neck,,,1000188
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D9122A0>,Neutral,Pink White,,,Fringe,,,Robes,1000189
<PIL.Image.Image image mode=RGB size=399x600 at 0x79C77DF47D70>,Female,Black Blue Orange Red White,Cotton,Short Sleeves,,Round Neck,,Casual Shirts,100019
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D909A60>,Male,Multi Color,,,,,,Cargo Shorts,1000191
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C6F30>,Female,,Denim,,Fringe Ripped,,,Jeans,1000192
<PIL.Image.Image image mode=RGB size=600x506 at 0x79C77D9125D0>,Female,,,Long Sleeved,,Turtlenecks,Spaghetti Straps,Casual Dresses,1000194
<PIL.Image.Image image mode=RGB size=600x277 at 0x79C77D912DB0>,Female,Blue Pink Red White,Polyester,Long Sleeved,,V-Necks,Bodycon,Jumpsuits Overalls & Rompers,1000195
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D9114C0>,Neutral,,,Long Sleeved,,Racerback,,T-Shirts,1000196
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D911190>,Female,Black Blue Green Pink Purple Red White Yellow,Cotton Polyester,,,,,Dance Wear,1000199
<PIL.Image.Image image mode=RGB size=300x300 at 0x79C77D90B470>,Female,Black Green,Fleece,Long Sleeved,,,Furry,Jackets,10002
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D909460>,Male,,,,,,,Skinny Jeans,100020
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D9097C0>,Female,Black Brown Gray,Plush,Long Sleeved,Quilted,,Furry,Hoodies & Sweatshirts,1000200
<PIL.Image.Image image mode=RGB size=599x600 at 0x79C77D913380>,Male,Black Blue Green Red White,,Long Sleeved,,Collared,,Dress Shirts,1000201
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D90A750>,Neutral,White,Lace,Short Sleeves,,Round Neck,Peplum,,1000202
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8C5040>,Female,,,Long Sleeved,,Round Neck,Furry,,1000203
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D920560>,Neutral,Black Blue Gray Red White,Cotton,Short Sleeves,,Round Neck,Printed,T-Shirts,1000205
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D920920>,Male,Black White,Cotton,Short Sleeves,,Round Neck,,T-Shirts,1000206
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D913080>,Female,,Lace,Puff Sleeves,,V-Necks,Summer,Party Dresses,1000208
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D912A80>,Female,White,Polyester,Sleeveless,,Round Neck,Pleated,Dresses,1000209
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D921610>,Female,,Cotton,Short Sleeves,,Round Neck,,T-Shirts,100021
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D9203B0>,Female,,Denim,,Ripped,,,Jeans,1000210
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D921B80>,Female,Black White,,Long Sleeved,,,,Suits & Blazers,1000211
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D921F10>,Female,,,Sleeveless,,Round Neck,Bodycon,Dresses,1000213
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D922300>,Female,Black Blue Pink Red,Lace Satin,,,,Spaghetti Straps,Pajamas,1000214
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D909B20>,Male,Multi Color,Cotton,,,,,Cargo Pants,1000215
<PIL.Image.Image image mode=RGB size=400x600 at 0x79C77D922930>,Female,,Chiffon,Strapless,,Shoulder Drapes,Summer,Dresses,1000219
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D9227E0>,Female,,Silk,,,,,Nightgowns,100022
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D921010>,Female,Blue White,Denim,,Ripped,,,Baggy Jeans,1000220
<PIL.Image.Image image mode=RGB size=600x553 at 0x79C77D920DD0>,Male,Black Blue Green White Yellow,Nylon,,,,,Swim Trunks,1000221
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D920D10>,Female,Pink,Spandex,,,,,Bikinis,1000222
<PIL.Image.Image image mode=RGB size=600x598 at 0x79C77D923CE0>,Female,,Polyester,,,,,Yoga Pants,1000223
<PIL.Image.Image image mode=RGB size=600x600 at 0x79C77D8E6A50>,Female,,,Short Sleeves,,Off The Shoulder,,,1000225
